collector_fullname,observation_subject,inat_upload,is_wild,taxon_name,no_name_on_list,name_proposition,sample_id,picture_panel,picture_general,picture_detail,picture_cut,picture_panel_label,picture_free,x_coord,y_coord,ipen,herbivory_(percent),comment_eco,soil_type,weather,temperature_(°C),comment_env,date,collector_orcid,collector_inat,extracted_id,project,geometry
Mazzarine Laboureau,Leaf,1,0,Saxifraga paniculata,0,,dbgi_009461,DCIM/jbc/Saxifraga paniculata_dbgi_009461_01.jpg,DCIM/jbc/Saxifraga paniculata_dbgi_009461_02.jpg,DCIM/jbc/Saxifraga paniculata_dbgi_009461_03.jpg,DCIM/jbc/Saxifraga paniculata_dbgi_009461_04.jpg,DCIM/jbc/Saxifraga paniculata_dbgi_009461_05.jpg,,2574770.951015437,1097961.704923247,,,,,,,,20250805103716,0009-0006-7011-4195,@mazzarinel,dbgi_009461,jbc,POINT (2574770.951015437 1097961.704923247)
Mazzarine Laboureau,Leaf,1,0,,1,Pinguicala vulgaris,dbgi_009469,DCIM/jbc/Pinguicala vulgaris_dbgi_009469_01.jpg,DCIM/jbc/Pinguicala vulgaris_dbgi_009469_02.jpg,DCIM/jbc/Pinguicala vulgaris_dbgi_009469_03.jpg,DCIM/jbc/Pinguicala vulgaris_dbgi_009469_04.jpg,DCIM/jbc/Pinguicala vulgaris_dbgi_009469_05.jpg,,2574770.5736403996,1097961.3364709269,,,,,,,,20250805103913,0009-0006-7011-4195,@mazzarinel,dbgi_009469,jbc,POINT (2574770.5736403996 1097961.3364709269)
Mazzarine Laboureau,Leaf,1,0,,1,Saxifraga gaudinii,dbgi_009470,DCIM/jbc/Saxifraga gaudinii_dbgi_009470_01.jpg,DCIM/jbc/Saxifraga gaudinii_dbgi_009470_02.jpg,DCIM/jbc/Saxifraga gaudinii_dbgi_009470_03.jpg,DCIM/jbc/Saxifraga gaudinii_dbgi_009470_04.jpg,DCIM/jbc/Saxifraga gaudinii_dbgi_009470_05.jpg,,2574770.3489595987,1097961.740815725,,,,,,,,20250805104100,0009-0006-7011-4195,@mazzarinel,dbgi_009470,jbc,POINT (2574770.3489595987 1097961.740815725)
Mazzarine Laboureau,Leaf,1,0,Saxifraga cotyledon,0,,dbgi_009448,DCIM/jbc/Saxifraga cotyledon_dbgi_009448_01.jpg,DCIM/jbc/Saxifraga cotyledon_dbgi_009448_02.jpg,DCIM/jbc/Saxifraga cotyledon_dbgi_009448_03.jpg,DCIM/jbc/Saxifraga cotyledon_dbgi_009448_04.jpg,DCIM/jbc/Saxifraga cotyledon_dbgi_009448_05.jpg,,2574769.8278130414,1097961.3453936444,,,,,,,,20250805104233,0009-0006-7011-4195,@mazzarinel,dbgi_009448,jbc,POINT (2574769.8278130414 1097961.3453936444)
Mazzarine Laboureau,Leaf,1,0,Daphne arbuscula,0,,dbgi_009438,DCIM/jbc/Daphne arbuscula_dbgi_009438_01.jpg,DCIM/jbc/Daphne arbuscula_dbgi_009438_02.jpg,DCIM/jbc/Daphne arbuscula_dbgi_009438_03.jpg,DCIM/jbc/Daphne arbuscula_dbgi_009438_04.jpg,DCIM/jbc/Daphne arbuscula_dbgi_009438_05.jpg,,2574769.399134977,1097961.9644832893,,,,,,,,20250805104344,0009-0006-7011-4195,@mazzarinel,dbgi_009438,jbc,POINT (2574769.399134977 1097961.9644832893)
Mazzarine Laboureau,Leaf,1,0,,1,Agapanthus lilliput,dbgi_009477,DCIM/jbc/Agapanthus lilliput_dbgi_009477_01.jpg,DCIM/jbc/Agapanthus lilliput_dbgi_009477_02.jpg,DCIM/jbc/Agapanthus lilliput_dbgi_009477_03.jpg,DCIM/jbc/Agapanthus lilliput_dbgi_009477_04.jpg,DCIM/jbc/Agapanthus lilliput_dbgi_009477_05.jpg,,2574768.626337857,1097962.1171775262,,,,,,,,20250805104511,0009-0006-7011-4195,@mazzarinel,dbgi_009477,jbc,POINT (2574768.626337857 1097962.1171775262)
Mazzarine Laboureau,Leaf,1,0,Juniperus chinensis,0,,dbgi_009421,DCIM/jbc/Juniperus chinensis_dbgi_009421_01.jpg,DCIM/jbc/Juniperus chinensis_dbgi_009421_02.jpg,DCIM/jbc/Juniperus chinensis_dbgi_009421_03.jpg,DCIM/jbc/Juniperus chinensis_dbgi_009421_04.jpg,DCIM/jbc/Juniperus chinensis_dbgi_009421_05.jpg,,2574767.4554589367,1097962.5068811236,,,,,,,,20250805104743,0009-0006-7011-4195,@mazzarinel,dbgi_009421,jbc,POINT (2574767.4554589367 1097962.5068811236)
Mazzarine Laboureau,Leaf,1,0,Stemmacantha rhapontica,0,,dbgi_009440,DCIM/jbc/Stemmacantha rhapontica_dbgi_009440_01.jpg,DCIM/jbc/Stemmacantha rhapontica_dbgi_009440_02.jpg,DCIM/jbc/Stemmacantha rhapontica_dbgi_009440_03.jpg,DCIM/jbc/Stemmacantha rhapontica_dbgi_009440_04.jpg,DCIM/jbc/Stemmacantha rhapontica_dbgi_009440_05.jpg,,2574769.2887575,1097960.350429295,,,,,,,,20250805104906,0009-0006-7011-4195,@mazzarinel,dbgi_009440,jbc,POINT (2574769.2887575 1097960.350429295)
Mazzarine Laboureau,Leaf,1,0,Geranium dalmaticum,0,,dbgi_009426,DCIM/jbc/Geranium dalmaticum_dbgi_009426_01.jpg,DCIM/jbc/Geranium dalmaticum_dbgi_009426_02.jpg,DCIM/jbc/Geranium dalmaticum_dbgi_009426_03.jpg,DCIM/jbc/Geranium dalmaticum_dbgi_009426_04.jpg,DCIM/jbc/Geranium dalmaticum_dbgi_009426_05.jpg,,2574770.1177243004,1097959.041439003,,,,,,,,20250805105048,0009-0006-7011-4195,@mazzarinel,dbgi_009426,jbc,POINT (2574770.1177243004 1097959.041439003)
Mazzarine Laboureau,Leaf,1,0,Betula humilis,0,,dbgi_009451,DCIM/jbc/Betula humilis_dbgi_009451_01.jpg,DCIM/jbc/Betula humilis_dbgi_009451_02.jpg,DCIM/jbc/Betula humilis_dbgi_009451_03.jpg,DCIM/jbc/Betula humilis_dbgi_009451_04.jpg,DCIM/jbc/Betula humilis_dbgi_009451_05.jpg,,2574769.0021056943,1097958.2606527994,,,,,,,,20250805105208,0009-0006-7011-4195,@mazzarinel,dbgi_009451,jbc,POINT (2574769.0021056943 1097958.2606527994)
Mazzarine Laboureau,Leaf,1,0,Chamaecyparis obtusa,0,,dbgi_009450,DCIM/jbc/Chamaecyparis obtusa_dbgi_009450_01.jpg,DCIM/jbc/Chamaecyparis obtusa_dbgi_009450_02.jpg,DCIM/jbc/Chamaecyparis obtusa_dbgi_009450_03.jpg,DCIM/jbc/Chamaecyparis obtusa_dbgi_009450_04.jpg,DCIM/jbc/Chamaecyparis obtusa_dbgi_009450_05.jpg,,2574768.9962661257,1097959.3073255904,,,,,,,,20250805105858,0009-0006-7011-4195,@mazzarinel,dbgi_009450,jbc,POINT (2574768.9962661257 1097959.3073255904)
Mazzarine Laboureau,Leaf,1,0,Potentilla palustris,0,,dbgi_009436,DCIM/jbc/Potentilla palustris_dbgi_009436_01.jpg,DCIM/jbc/Potentilla palustris_dbgi_009436_02.jpg,DCIM/jbc/Potentilla palustris_dbgi_009436_03.jpg,DCIM/jbc/Potentilla palustris_dbgi_009436_04.jpg,DCIM/jbc/Potentilla palustris_dbgi_009436_05.jpg,,2574767.3843882033,1097957.1985629783,,,,,,,,20250805110026,0009-0006-7011-4195,@mazzarinel,dbgi_009436,jbc,POINT (2574767.3843882033 1097957.1985629783)
Mazzarine Laboureau,Leaf,1,0,Sarracenia purpurea,0,,dbgi_009459,DCIM/jbc/Sarracenia purpurea_dbgi_009459_01.jpg,DCIM/jbc/Sarracenia purpurea_dbgi_009459_02.jpg,DCIM/jbc/Sarracenia purpurea_dbgi_009459_03.jpg,DCIM/jbc/Sarracenia purpurea_dbgi_009459_04.jpg,DCIM/jbc/Sarracenia purpurea_dbgi_009459_05.jpg,,2574764.231981355,1097958.9006808668,,,,,,,,20250805110721,0009-0006-7011-4195,@mazzarinel,dbgi_009459,jbc,POINT (2574764.231981355 1097958.9006808668)
Mazzarine Laboureau,Leaf,1,0,,1,Vaccinium oxycocos,dbgi_009429,DCIM/jbc/Vaccinium oxycocos_dbgi_009429_01.jpg,DCIM/jbc/Vaccinium oxycocos_dbgi_009429_02.jpg,DCIM/jbc/Vaccinium oxycocos_dbgi_009429_03.jpg,DCIM/jbc/Vaccinium oxycocos_dbgi_009429_04.jpg,DCIM/jbc/Vaccinium oxycocos_dbgi_009429_05.jpg,,2574763.469679758,1097960.3958756912,,,,,,,,20250805110908,0009-0006-7011-4195,@mazzarinel,dbgi_009429,jbc,POINT (2574763.469679758 1097960.3958756912)
Mazzarine Laboureau,Leaf,1,0,Salix breviserrata,0,,dbgi_009454,DCIM/jbc/Salix breviserrata_dbgi_009454_01.jpg,DCIM/jbc/Salix breviserrata_dbgi_009454_02.jpg,DCIM/jbc/Salix breviserrata_dbgi_009454_03.jpg,DCIM/jbc/Salix breviserrata_dbgi_009454_04.jpg,DCIM/jbc/Salix breviserrata_dbgi_009454_05.jpg,,2574765.7631517416,1097960.806829833,,,,,,,,20250805111107,0009-0006-7011-4195,@mazzarinel,dbgi_009454,jbc,POINT (2574765.7631517416 1097960.806829833)
Mazzarine Laboureau,Leaf,1,0,Eryngium bourgatii,0,,dbgi_009471,DCIM/jbc/Eryngium bourgatii_dbgi_009471_01.jpg,DCIM/jbc/Eryngium bourgatii_dbgi_009471_02.jpg,DCIM/jbc/Eryngium bourgatii_dbgi_009471_03.jpg,DCIM/jbc/Eryngium bourgatii_dbgi_009471_04.jpg,DCIM/jbc/Eryngium bourgatii_dbgi_009471_05.jpg,,2574768.3255233145,1097973.7570401358,,,,,,,,20250805111443,0009-0006-7011-4195,@mazzarinel,dbgi_009471,jbc,POINT (2574768.3255233145 1097973.7570401358)
