collector_fullname,observation_subject,inat_upload,is_wild,taxon_name,no_name_on_list,name_proposition,sample_id,picture_panel,picture_general,picture_detail,picture_cut,picture_panel_label,picture_free,x_coord,y_coord,ipen,herbivory_(percent),comment_eco,soil_type,weather,temperature_(°C),comment_env,date,collector_orcid,collector_inat,extracted_id,geometry,latitude,longitude
Émilie Lab,Leaf,1,0,Lomelosia graminifolia,0,,dbgi_008572,DCIM/jbc/Lomelosia graminifolia_dbgi_008572_01.jpg,DCIM/jbc/Lomelosia graminifolia_dbgi_008572_02.jpg,DCIM/jbc/Lomelosia graminifolia_dbgi_008572_03.jpg,DCIM/jbc/Lomelosia graminifolia_dbgi_008572_04.jpg,DCIM/jbc/Lomelosia graminifolia_dbgi_008572_05.jpg,,2574734.992519795,1097952.5891988084,,,,,,,,20250527131402,,,dbgi_008572,POINT (46.03263848015166 7.112345302461853),7.112345302461853,46.03263848015166
Mazzarine Laboureau,Leaf,1,0,Rhododendron ferrugineum,0,,dbgi_008573,DCIM/jbc/Rhododendron ferrugineum_dbgi_008573_01.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008573_02.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008573_03.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008573_04.jpg,DCIM/jbc/Rhododendron ferrugineum_dbgi_008573_05.jpg,,2574790.21797923,1097950.9434561615,,,,,,,,20250625094551,0009-0006-7011-4195,@mazzarinel,dbgi_008573,POINT (46.03262574742049 7.113058631431827),7.113058631431827,46.03262574742049
Mazzarine Laboureau,Leaf,1,0,Geranium nodosum,0,,dbgi_008385,DCIM/jbc/Geranium nodosum_dbgi_008385_01.jpg,DCIM/jbc/Geranium nodosum_dbgi_008385_02.jpg,DCIM/jbc/Geranium nodosum_dbgi_008385_03.jpg,DCIM/jbc/Geranium nodosum_dbgi_008385_04.jpg,DCIM/jbc/Geranium nodosum_dbgi_008385_05.jpg,,2574812.0475666355,1097945.233277321,,,,,,,,20250625110706,0009-0006-7011-4195,@mazzarinel,dbgi_008385,POINT (46.03257519966049 7.113340868825553),7.113340868825553,46.03257519966049
Mazzarine Laboureau,Leaf,1,0,Silene volgensis,0,,dbgi_001353,DCIM/jbc/Silene volgensis_dbgi_001353_01.jpg,DCIM/jbc/Silene volgensis_dbgi_001353_02.jpg,DCIM/jbc/Silene volgensis_dbgi_001353_03.jpg,DCIM/jbc/Silene volgensis_dbgi_001353_04.jpg,DCIM/jbc/Silene volgensis_dbgi_001353_05.jpg,,2574809.7176712984,1097978.0106215302,,,,,,,,20250729125632,0009-0006-7011-4195,@mazzarinel,dbgi_001353,POINT (46.03286995743426 7.113309016294954),7.113309016294954,46.03286995743426
